country,coverage,measure,year,month,flights
LTU,"NAT",CAF_PAS,2022,M04,4
LUX,"NAT",CAF_PAS,2022,M04,0
LVA,"NAT",CAF_PAS,2022,M04,
MNE,"NAT",CAF_PAS,2022,M04,
MKD,"NAT",CAF_PAS,2022,M04,
MLT,"NAT",CAF_PAS,2022,M04,
NLD,"NAT",CAF_PAS,2022,M04,7
NOR,"NAT",CAF_PAS,2022,M04,17492
POL,"NAT",CAF_PAS,2022,M04,
PRT,"NAT",CAF_PAS,2022,M04,4836
ROU,"NAT",CAF_PAS,2022,M04,
RS,"NAT",CAF_PAS,2022,M04,
SWE,"NAT",CAF_PAS,2022,M04,5591
SVN,"NAT",CAF_PAS,2022,M04,0
SVK,"NAT",CAF_PAS,2022,M04,17
TUR,"NAT",CAF_PAS,2022,M04,
GBR,"NAT",CAF_PAS,2022,M04,
AUT,TOTAL,CAF_PAS,2022,M04,16375
BEL,TOTAL,CAF_PAS,2022,M04,
BGR,TOTAL,CAF_PAS,2022,M04,
CHE,TOTAL,CAF_PAS,2022,M04,
CYP,TOTAL,CAF_PAS,2022,M04,5017
CZE,TOTAL,CAF_PAS,2022,M04,6729
DEU,TOTAL,CAF_PAS,2022,M04,102134
DNK,TOTAL,CAF_PAS,2022,M04,
EST,TOTAL,CAF_PAS,2022,M04,
GRC,TOTAL,CAF_PAS,2022,M04,
ESP,TOTAL,CAF_PAS,2022,M04,120531
FIN,TOTAL,CAF_PAS,2022,M04,10447
FRA,TOTAL,CAF_PAS,2022,M04,
HRV,TOTAL,CAF_PAS,2022,M04,5679
HUN,TOTAL,CAF_PAS,2022,M04,
IRL,TOTAL,CAF_PAS,2022,M04,
ISL,TOTAL,CAF_PAS,2022,M04,3816
ITA,TOTAL,CAF_PAS,2022,M04,
LTU,TOTAL,CAF_PAS,2022,M04,3766
LUX,TOTAL,CAF_PAS,2022,M04,4203
LVA,TOTAL,CAF_PAS,2022,M04,
MNE,TOTAL,CAF_PAS,2022,M04,
MKD,TOTAL,CAF_PAS,2022,M04,
MLT,TOTAL,CAF_PAS,2022,M04,
NLD,TOTAL,CAF_PAS,2022,M04,36714
NOR,TOTAL,CAF_PAS,2022,M04,29939
POL,TOTAL,CAF_PAS,2022,M04,
PRT,TOTAL,CAF_PAS,2022,M04,31613
ROU,TOTAL,CAF_PAS,2022,M04,
RS,TOTAL,CAF_PAS,2022,M04,
SWE,TOTAL,CAF_PAS,2022,M04,19737
SVN,TOTAL,CAF_PAS,2022,M04,755
SVK,TOTAL,CAF_PAS,2022,M04,2088
TUR,TOTAL,CAF_PAS,2022,M04,
GBR,TOTAL,CAF_PAS,2022,M04,
AUT,INTL,CAF_PAS,2022,M03,13722
BEL,INTL,CAF_PAS,2022,M03,
BGR,INTL,CAF_PAS,2022,M03,3049
CHE,INTL,CAF_PAS,2022,M03,24197
CYP,INTL,CAF_PAS,2022,M03,2953
CZE,INTL,CAF_PAS,2022,M03,5349
DEU,INTL,CAF_PAS,2022,M03,68858
DNK,INTL,CAF_PAS,2022,M03,13781
EST,INTL,CAF_PAS,2022,M03,1837
GRC,INTL,CAF_PAS,2022,M03,
ESP,INTL,CAF_PAS,2022,M03,66350
FIN,INTL,CAF_PAS,2022,M03,7242
FRA,INTL,CAF_PAS,2022,M03,52504
HRV,INTL,CAF_PAS,2022,M03,2555
HUN,INTL,CAF_PAS,2022,M03,5854
IRL,INTL,CAF_PAS,2022,M03,15626
ISL,INTL,CAF_PAS,2022,M03,2294
ITA,INTL,CAF_PAS,2022,M03,
LTU,INTL,CAF_PAS,2022,M03,3019
LUX,INTL,CAF_PAS,2022,M03,3300
LVA,INTL,CAF_PAS,2022,M03,3269
MNE,INTL,CAF_PAS,2022,M03,
MKD,INTL,CAF_PAS,2022,M03,
MLT,INTL,CAF_PAS,2022,M03,2794
NLD,INTL,CAF_PAS,2022,M03,32316
NOR,INTL,CAF_PAS,2022,M03,9446
POL,INTL,CAF_PAS,2022,M03,17684
PRT,INTL,CAF_PAS,2022,M03,21152
ROU,INTL,CAF_PAS,2022,M03,
RS,INTL,CAF_PAS,2022,M03,
SWE,INTL,CAF_PAS,2022,M03,10644
SVN,INTL,CAF_PAS,2022,M03,597
SVK,INTL,CAF_PAS,2022,M03,2123
TUR,INTL,CAF_PAS,2022,M03,
GBR,INTL,CAF_PAS,2022,M03,
AUT,"NAT",CAF_PAS,2022,M03,251
BEL,"NAT",CAF_PAS,2022,M03,
BGR,"NAT",CAF_PAS,2022,M03,147
CHE,"NAT",CAF_PAS,2022,M03,244
CYP,"NAT",CAF_PAS,2022,M03,0
CZE,"NAT",CAF_PAS,2022,M03,45
DEU,"NAT",CAF_PAS,2022,M03,8834
DNK,"NAT",CAF_PAS,2022,M03,2291
EST,"NAT",CAF_PAS,2022,M03,210
GRC,"NAT",CAF_PAS,2022,M03,
ESP,"NAT",CAF_PAS,2022,M03,26641
FIN,"NAT",CAF_PAS,2022,M03,2414
FRA,"NAT",CAF_PAS,2022,M03,19154
HRV,"NAT",CAF_PAS,2022,M03,577
HUN,"NAT",CAF_PAS,2022,M03,5
IRL,"NAT",CAF_PAS,2022,M03,245
ISL,"NAT",CAF_PAS,2022,M03,918
ITA,"NAT",CAF_PAS,2022,M03,
LTU,"NAT",CAF_PAS,2022,M03,0
LUX,"NAT",CAF_PAS,2022,M03,2
LVA,"NAT",CAF_PAS,2022,M03,0
MNE,"NAT",CAF_PAS,2022,M03,
MKD,"NAT",CAF_PAS,2022,M03,
MLT,"NAT",CAF_PAS,2022,M03,0
NLD,"NAT",CAF_PAS,2022,M03,9
NOR,"NAT",CAF_PAS,2022,M03,17735
POL,"NAT",CAF_PAS,2022,M03,1550
PRT,"NAT",CAF_PAS,2022,M03,3683
ROU,"NAT",CAF_PAS,2022,M03,
RS,"NAT",CAF_PAS,2022,M03,
SWE,"NAT",CAF_PAS,2022,M03,4760
SVN,"NAT",CAF_PAS,2022,M03,0
SVK,"NAT",CAF_PAS,2022,M03,15
TUR,"NAT",CAF_PAS,2022,M03,
GBR,"NAT",CAF_PAS,2022,M03,
AUT,TOTAL,CAF_PAS,2022,M03,13973
BEL,TOTAL,CAF_PAS,2022,M03,
BGR,TOTAL,CAF_PAS,2022,M03,3196
CHE,TOTAL,CAF_PAS,2022,M03,24441
CYP,TOTAL,CAF_PAS,2022,M03,2953
CZE,TOTAL,CAF_PAS,2022,M03,5394
DEU,TOTAL,CAF_PAS,2022,M03,77692
DNK,TOTAL,CAF_PAS,2022,M03,16072
EST,TOTAL,CAF_PAS,2022,M03,2047
GRC,TOTAL,CAF_PAS,2022,M03,
ESP,TOTAL,CAF_PAS,2022,M03,92991
FIN,TOTAL,CAF_PAS,2022,M03,9656
FRA,TOTAL,CAF_PAS,2022,M03,71658
HRV,TOTAL,CAF_PAS,2022,M03,3132
HUN,TOTAL,CAF_PAS,2022,M03,5859
IRL,TOTAL,CAF_PAS,2022,M03,15871
ISL,TOTAL,CAF_PAS,2022,M03,3212
ITA,TOTAL,CAF_PAS,2022,M03,
LTU,TOTAL,CAF_PAS,2022,M03,3019
LUX,TOTAL,CAF_PAS,2022,M03,3302
LVA,TOTAL,CAF_PAS,2022,M03,3269
MNE,TOTAL,CAF_PAS,2022,M03,
MKD,TOTAL,CAF_PAS,2022,M03,
MLT,TOTAL,CAF_PAS,2022,M03,2794
NLD,TOTAL,CAF_PAS,2022,M03,32325
NOR,TOTAL,CAF_PAS,2022,M03,27181
POL,TOTAL,CAF_PAS,2022,M03,19234
PRT,TOTAL,CAF_PAS,2022,M03,24835
ROU,TOTAL,CAF_PAS,2022,M03,
RS,TOTAL,CAF_PAS,2022,M03,
SWE,TOTAL,CAF_PAS,2022,M03,15404
SVN,TOTAL,CAF_PAS,2022,M03,597
SVK,TOTAL,CAF_PAS,2022,M03,2138
TUR,TOTAL,CAF_PAS,2022,M03,
GBR,TOTAL,CAF_PAS,2022,M03,
AUT,INTL,CAF_PAS,2022,M02,10524
BEL,INTL,CAF_PAS,2022,M02,
BGR,INTL,CAF_PAS,2022,M02,2505
CHE,INTL,CAF_PAS,2022,M02,18724
CYP,INTL,CAF_PAS,2022,M02,2467
CZE,INTL,CAF_PAS,2022,M02,4128
DEU,INTL,CAF_PAS,2022,M02,51613
DNK,INTL,CAF_PAS,2022,M02,10574
EST,INTL,CAF_PAS,2022,M02,1429
GRC,INTL,CAF_PAS,2022,M02,6030
ESP,INTL,CAF_PAS,2022,M02,50931
FIN,INTL,CAF_PAS,2022,M02,6187
FRA,INTL,CAF_PAS,2022,M02,40483
HRV,INTL,CAF_PAS,2022,M02,1794
HUN,INTL,CAF_PAS,2022,M02,4524
IRL,INTL,CAF_PAS,2022,M02,11683
ISL,INTL,CAF_PAS,2022,M02,1772
ITA,INTL,CAF_PAS,2022,M02,
LTU,INTL,CAF_PAS,2022,M02,2534
LUX,INTL,CAF_PAS,2022,M02,2529
LVA,INTL,CAF_PAS,2022,M02,2504
MNE,INTL,CAF_PAS,2022,M02,
MKD,INTL,CAF_PAS,2022,M02,
MLT,INTL,CAF_PAS,2022,M02,1732
NLD,INTL,CAF_PAS,2022,M02,25147
NOR,INTL,CAF_PAS,2022,M02,6969
POL,INTL,CAF_PAS,2022,M02,13734
PRT,INTL,CAF_PAS,2022,M02,16374
ROU,INTL,CAF_PAS,2022,M02,
RS,INTL,CAF_PAS,2022,M02,
SWE,INTL,CAF_PAS,2022,M02,3211
SVN,INTL,CAF_PAS,2022,M02,486
SVK,INTL,CAF_PAS,2022,M02,1394
TUR,INTL,CAF_PAS,2022,M02,
GBR,INTL,CAF_PAS,2022,M02,
AUT,"NAT",CAF_PAS,2022,M02,172
BEL,"NAT",CAF_PAS,2022,M02,
BGR,"NAT",CAF_PAS,2022,M02,137
CHE,"NAT",CAF_PAS,2022,M02,212
CYP,"NAT",CAF_PAS,2022,M02,0
CZE,"NAT",CAF_PAS,2022,M02,27
DEU,"NAT",CAF_PAS,2022,M02,6875
DNK,"NAT",CAF_PAS,2022,M02,1782
EST,"NAT",CAF_PAS,2022,M02,189
GRC,"NAT",CAF_PAS,2022,M02,5677
ESP,"NAT",CAF_PAS,2022,M02,21108
FIN,"NAT",CAF_PAS,2022,M02,1982
FRA,"NAT",CAF_PAS,2022,M02,15881
HRV,"NAT",CAF_PAS,2022,M02,503
HUN,"NAT",CAF_PAS,2022,M02,3
IRL,"NAT",CAF_PAS,2022,M02,160
ISL,"NAT",CAF_PAS,2022,M02,754
ITA,"NAT",CAF_PAS,2022,M02,
LTU,"NAT",CAF_PAS,2022,M02,2
LUX,"NAT",CAF_PAS,2022,M02,2
LVA,"NAT",CAF_PAS,2022,M02,0
MNE,"NAT",CAF_PAS,2022,M02,
MKD,"NAT",CAF_PAS,2022,M02,
MLT,"NAT",CAF_PAS,2022,M02,0
NLD,"NAT",CAF_PAS,2022,M02,4
NOR,"NAT",CAF_PAS,2022,M02,13296
POL,"NAT",CAF_PAS,2022,M02,1205
PRT,"NAT",CAF_PAS,2022,M02,2937
ROU,"NAT",CAF_PAS,2022,M02,
RS,"NAT",CAF_PAS,2022,M02,
SWE,"NAT",CAF_PAS,2022,M02,809
SVN,"NAT",CAF_PAS,2022,M02,0
SVK,"NAT",CAF_PAS,2022,M02,9
TUR,"NAT",CAF_PAS,2022,M02,
GBR,"NAT",CAF_PAS,2022,M02,
AUT,TOTAL,CAF_PAS,2022,M02,10696
BEL,TOTAL,CAF_PAS,2022,M02,
BGR,TOTAL,CAF_PAS,2022,M02,2642
CHE,TOTAL,CAF_PAS,2022,M02,18936
CYP,TOTAL,CAF_PAS,2022,M02,2467
CZE,TOTAL,CAF_PAS,2022,M02,4155
DEU,TOTAL,CAF_PAS,2022,M02,58488
DNK,TOTAL,CAF_PAS,2022,M02,12356
EST,TOTAL,CAF_PAS,2022,M02,1618
GRC,TOTAL,CAF_PAS,2022,M02,11707
ESP,TOTAL,CAF_PAS,2022,M02,72039
FIN,TOTAL,CAF_PAS,2022,M02,8169
FRA,TOTAL,CAF_PAS,2022,M02,56364
HRV,TOTAL,CAF_PAS,2022,M02,2297
HUN,TOTAL,CAF_PAS,2022,M02,4527
IRL,TOTAL,CAF_PAS,2022,M02,11843
ISL,TOTAL,CAF_PAS,2022,M02,2526
ITA,TOTAL,CAF_PAS,2022,M02,
LTU,TOTAL,CAF_PAS,2022,M02,2536
LUX,TOTAL,CAF_PAS,2022,M02,2531
LVA,TOTAL,CAF_PAS,2022,M02,2504
MNE,TOTAL,CAF_PAS,2022,M02,
MKD,TOTAL,CAF_PAS,2022,M02,
MLT,TOTAL,CAF_PAS,2022,M02,1732
NLD,TOTAL,CAF_PAS,2022,M02,25151
NOR,TOTAL,CAF_PAS,2022,M02,20265
POL,TOTAL,CAF_PAS,2022,M02,14939
PRT,TOTAL,CAF_PAS,2022,M02,19311
ROU,TOTAL,CAF_PAS,2022,M02,
RS,TOTAL,CAF_PAS,2022,M02,
SWE,TOTAL,CAF_PAS,2022,M02,4020
SVN,TOTAL,CAF_PAS,2022,M02,486
SVK,TOTAL,CAF_PAS,2022,M02,1403
TUR,TOTAL,CAF_PAS,2022,M02,
GBR,TOTAL,CAF_PAS,2022,M02,
AUT,INTL,CAF_PAS,2022,M01,11350
BEL,INTL,CAF_PAS,2022,M01,
BGR,INTL,CAF_PAS,2022,M01,2954
CHE,INTL,CAF_PAS,2022,M01,19265
CYP,INTL,CAF_PAS,2022,M01,2624
CZE,INTL,CAF_PAS,2022,M01,4093
DEU,INTL,CAF_PAS,2022,M01,56405
DNK,INTL,CAF_PAS,2022,M01,10649
EST,INTL,CAF_PAS,2022,M01,1687
GRC,INTL,CAF_PAS,2022,M01,6848
ESP,INTL,CAF_PAS,2022,M01,51451
FIN,INTL,CAF_PAS,2022,M01,7321
FRA,INTL,CAF_PAS,2022,M01,37878
HRV,INTL,CAF_PAS,2022,M01,2043
HUN,INTL,CAF_PAS,2022,M01,4895
IRL,INTL,CAF_PAS,2022,M01,10906
ISL,INTL,CAF_PAS,2022,M01,1728
ITA,INTL,CAF_PAS,2022,M01,35529
LTU,INTL,CAF_PAS,2022,M01,2741
LUX,INTL,CAF_PAS,2022,M01,2271
LVA,INTL,CAF_PAS,2022,M01,3169
MNE,INTL,CAF_PAS,2022,M01,
MKD,INTL,CAF_PAS,2022,M01,910
MLT,INTL,CAF_PAS,2022,M01,1761
NLD,INTL,CAF_PAS,2022,M01,27128
NOR,INTL,CAF_PAS,2022,M01,7535
POL,INTL,CAF_PAS,2022,M01,15581
PRT,INTL,CAF_PAS,2022,M01,16207
ROU,INTL,CAF_PAS,2022,M01,
RS,INTL,CAF_PAS,2022,M01,
SWE,INTL,CAF_PAS,2022,M01,3648
SVN,INTL,CAF_PAS,2022,M01,598
SVK,INTL,CAF_PAS,2022,M01,1193
TUR,INTL,CAF_PAS,2022,M01,
GBR,INTL,CAF_PAS,2022,M01,
AUT,"NAT",CAF_PAS,2022,M01,197
BEL,"NAT",CAF_PAS,2022,M01,
BGR,"NAT",CAF_PAS,2022,M01,157
CHE,"NAT",CAF_PAS,2022,M01,253
CYP,"NAT",CAF_PAS,2022,M01,0
CZE,"NAT",CAF_PAS,2022,M01,19
DEU,"NAT",CAF_PAS,2022,M01,6950
DNK,"NAT",CAF_PAS,2022,M01,1970
EST,"NAT",CAF_PAS,2022,M01,193
GRC,"NAT",CAF_PAS,2022,M01,5908
ESP,"NAT",CAF_PAS,2022,M01,22472
FIN,"NAT",CAF_PAS,2022,M01,2153
FRA,"NAT",CAF_PAS,2022,M01,15697
HRV,"NAT",CAF_PAS,2022,M01,558
HUN,"NAT",CAF_PAS,2022,M01,4
IRL,"NAT",CAF_PAS,2022,M01,198
ISL,"NAT",CAF_PAS,2022,M01,641
ITA,"NAT",CAF_PAS,2022,M01,16008
LTU,"NAT",CAF_PAS,2022,M01,1
LUX,"NAT",CAF_PAS,2022,M01,2
LVA,"NAT",CAF_PAS,2022,M01,0
MNE,"NAT",CAF_PAS,2022,M01,
MKD,"NAT",CAF_PAS,2022,M01,0
MLT,"NAT",CAF_PAS,2022,M01,0
NLD,"NAT",CAF_PAS,2022,M01,5
NOR,"NAT",CAF_PAS,2022,M01,14095
POL,"NAT",CAF_PAS,2022,M01,1573
PRT,"NAT",CAF_PAS,2022,M01,3381
ROU,"NAT",CAF_PAS,2022,M01,
RS,"NAT",CAF_PAS,2022,M01,
SWE,"NAT",CAF_PAS,2022,M01,724
SVN,"NAT",CAF_PAS,2022,M01,0
SVK,"NAT",CAF_PAS,2022,M01,12
TUR,"NAT",CAF_PAS,2022,M01,
GBR,"NAT",CAF_PAS,2022,M01,
AUT,TOTAL,CAF_PAS,2022,M01,11547
BEL,TOTAL,CAF_PAS,2022,M01,
BGR,TOTAL,CAF_PAS,2022,M01,3111
CHE,TOTAL,CAF_PAS,2022,M01,19518
CYP,TOTAL,CAF_PAS,2022,M01,2624
CZE,TOTAL,CAF_PAS,2022,M01,4112
DEU,TOTAL,CAF_PAS,2022,M01,63355
DNK,TOTAL,CAF_PAS,2022,M01,12619
EST,TOTAL,CAF_PAS,2022,M01,1880
GRC,TOTAL,CAF_PAS,2022,M01,12756
ESP,TOTAL,CAF_PAS,2022,M01,73923
FIN,TOTAL,CAF_PAS,2022,M01,9474
