country,coverage,year,passengers
SWE,"NAT",2018,7706047
SVN,"NAT",2018,0
SVK,"NAT",2018,27604
TUR,"NAT",2018,56674673
GBR,"NAT",2018,23710662
AUT,TOTAL,2018,31334877
BEL,TOTAL,2018,34572750
BGR,TOTAL,2018,12181375
CHE,TOTAL,2018,56192107
CYP,TOTAL,2018,11095888
CZE,TOTAL,2018,17893941
DEU,TOTAL,2018,223017056
DNK,TOTAL,2018,34789772
EST,TOTAL,2018,2995830
GRC,TOTAL,2018,54255032
ESP,TOTAL,2018,220753396
FIN,TOTAL,2018,22268840
FRA,TOTAL,2018,162847023
HRV,TOTAL,2018,9798678
HUN,TOTAL,2018,15212355
IRL,TOTAL,2018,36459768
ISL,TOTAL,2018,10167367
ITA,TOTAL,2018,154146222
LTU,TOTAL,2018,6259643
LUX,TOTAL,2018,3988804
LVA,TOTAL,2018,7039116
MNE,TOTAL,2018,2440486
MKD,TOTAL,2018,2152746
MLT,TOTAL,2018,6805643
NLD,TOTAL,2018,79862217
NOR,TOTAL,2018,40531944
POL,TOTAL,2018,43754118
PRT,TOTAL,2018,50949917
ROU,TOTAL,2018,19870674
RS,TOTAL,2018,5521250
SWE,TOTAL,2018,39183627
SVN,TOTAL,2018,1810567
SVK,TOTAL,2018,2814330
TUR,TOTAL,2018,154730815
GBR,TOTAL,2018,272386344
AUT,INTL,2017,27994819
BEL,INTL,2017,33267929
BGR,INTL,2017,10850154
CHE,INTL,2017,52884886
CYP,INTL,2017,10435301
CZE,INTL,2017,16244047
DEU,INTL,2017,189076566
DNK,INTL,2017,31376209
EST,INTL,2017,2612332
GRC,INTL,2017,41836385
ESP,INTL,2017,173996629
FIN,INTL,2017,17288844
FRA,INTL,2017,124415358
HRV,INTL,2017,8312349
HUN,INTL,2017,13379800
IRL,INTL,2017,34296853
ISL,INTL,2017,8317397
ITA,INTL,2017,113680443
LTU,INTL,2017,5250246
LUX,INTL,2017,3553631
LVA,INTL,2017,6091132
MNE,INTL,2017,2173377
MKD,INTL,2017,1861282
MLT,INTL,2017,6007710
NLD,INTL,2017,76597658
NOR,INTL,2017,23167154
POL,INTL,2017,35510918
PRT,INTL,2017,42609477
ROU,INTL,2017,16594569
RS,INTL,2017,4828120
SWE,INTL,2017,30656993
SVN,INTL,2017,1682705
SVK,INTL,2017,2401867
TUR,INTL,2017,84111362
GBR,INTL,2017,241387460
AUT,"NAT",2017,556497
BEL,"NAT",2017,9900
BGR,"NAT",2017,292447
CHE,"NAT",2017,733800
CYP,"NAT",2017,76
CZE,"NAT",2017,82457
DEU,"NAT",2017,23995949
DNK,"NAT",2017,1955930
EST,"NAT",2017,24524
GRC,"NAT",2017,8332976
