country,coverage,year,quarter,passengers
LVA,INTL,2021,Q2,294118
MNE,INTL,2021,Q2,220585
MKD,INTL,2021,Q2,225469
MLT,INTL,2021,Q2,308330
NLD,INTL,2021,Q2,3861264
NOR,INTL,2021,Q2,326011
POL,INTL,2021,Q2,2546629
PRT,INTL,2021,Q2,2746213
ROU,INTL,2021,Q2,1752054
RS,INTL,2021,Q2,655551
SWE,INTL,2021,Q2,1073564
SVN,INTL,2021,Q2,51165
SVK,INTL,2021,Q2,54611
TUR,INTL,2021,Q2,9209430
GBR,INTL,2021,Q2,
AUT,"NAT",2021,Q2,20325
BEL,"NAT",2021,Q2,7681
BGR,"NAT",2021,Q2,35744
CHE,"NAT",2021,Q2,31525
CYP,"NAT",2021,Q2,56
CZE,"NAT",2021,Q2,6438
DEU,"NAT",2021,Q2,750090
DNK,"NAT",2021,Q2,208815
EST,"NAT",2021,Q2,9259
GRC,"NAT",2021,Q2,1110751
ESP,"NAT",2021,Q2,4989527
FIN,"NAT",2021,Q2,112555
FRA,"NAT",2021,Q2,3433471
HRV,"NAT",2021,Q2,50151
HUN,"NAT",2021,Q2,360
IRL,"NAT",2021,Q2,4914
ISL,"NAT",2021,Q2,66599
ITA,"NAT",2021,Q2,3899073
LTU,"NAT",2021,Q2,0
LUX,"NAT",2021,Q2,158
LVA,"NAT",2021,Q2,0
MNE,"NAT",2021,Q2,0
MKD,"NAT",2021,Q2,0
MLT,"NAT",2021,Q2,3
NLD,"NAT",2021,Q2,627
NOR,"NAT",2021,Q2,1696609
POL,"NAT",2021,Q2,150574
PRT,"NAT",2021,Q2,601723
ROU,"NAT",2021,Q2,159988
RS,"NAT",2021,Q2,13
SWE,"NAT",2021,Q2,351017
SVN,"NAT",2021,Q2,0
SVK,"NAT",2021,Q2,171
TUR,"NAT",2021,Q2,6685726
GBR,"NAT",2021,Q2,
AUT,TOTAL,2021,Q2,1446651
BEL,TOTAL,2021,Q2,1746372
BGR,TOTAL,2021,Q2,802063
CHE,TOTAL,2021,Q2,2555126
CYP,TOTAL,2021,Q2,750717
CZE,TOTAL,2021,Q2,583909
DEU,TOTAL,2021,Q2,10320091
DNK,TOTAL,2021,Q2,1084730
EST,TOTAL,2021,Q2,195991
GRC,TOTAL,2021,Q2,4189166
ESP,TOTAL,2021,Q2,13521977
FIN,TOTAL,2021,Q2,464766
FRA,TOTAL,2021,Q2,9269768
HRV,TOTAL,2021,Q2,476229
HUN,TOTAL,2021,Q2,416702
IRL,TOTAL,2021,Q2,594242
ISL,TOTAL,2021,Q2,263273
ITA,TOTAL,2021,Q2,8088973
LTU,TOTAL,2021,Q2,331224
LUX,TOTAL,2021,Q2,345460
LVA,TOTAL,2021,Q2,294118
MNE,TOTAL,2021,Q2,220585
MKD,TOTAL,2021,Q2,225469
MLT,TOTAL,2021,Q2,308333
NLD,TOTAL,2021,Q2,3861891
NOR,TOTAL,2021,Q2,2022620
POL,TOTAL,2021,Q2,2697203
PRT,TOTAL,2021,Q2,3347936
ROU,TOTAL,2021,Q2,1912042
RS,TOTAL,2021,Q2,655564
SWE,TOTAL,2021,Q2,1424581
SVN,TOTAL,2021,Q2,51165
SVK,TOTAL,2021,Q2,54782
TUR,TOTAL,2021,Q2,15895156
GBR,TOTAL,2021,Q2,
AUT,INTL,2021,Q1,580246
BEL,INTL,2021,Q1,767480
BGR,INTL,2021,Q1,483792
CHE,INTL,2021,Q1,1086595
CYP,INTL,2021,Q1,116682
CZE,INTL,2021,Q1,256267
DEU,INTL,2021,Q1,4249236
DNK,INTL,2021,Q1,371345
EST,INTL,2021,Q1,79798
GRC,INTL,2021,Q1,430781
ESP,INTL,2021,Q1,3212788
FIN,INTL,2021,Q1,235340
FRA,INTL,2021,Q1,3741357
HRV,INTL,2021,Q1,94007
HUN,INTL,2021,Q1,182118
IRL,INTL,2021,Q1,413910
ISL,INTL,2021,Q1,49460
ITA,INTL,2021,Q1,1714285
LTU,INTL,2021,Q1,148746
LUX,INTL,2021,Q1,140523
LVA,INTL,2021,Q1,103236
MNE,INTL,2021,Q1,65642
MKD,INTL,2021,Q1,148420
MLT,INTL,2021,Q1,100646
NLD,INTL,2021,Q1,2107770
NOR,INTL,2021,Q1,261344
POL,INTL,2021,Q1,911846
PRT,INTL,2021,Q1,965822
ROU,INTL,2021,Q1,734010
RS,INTL,2021,Q1,288833
SWE,INTL,2021,Q1,606685
SVN,INTL,2021,Q1,18364
SVK,INTL,2021,Q1,21187
TUR,INTL,2021,Q1,6003583
GBR,INTL,2021,Q1,
AUT,"NAT",2021,Q1,9868
BEL,"NAT",2021,Q1,3949
BGR,"NAT",2021,Q1,31252
CHE,"NAT",2021,Q1,17561
