country,measure,year,flights
POL,CAF_PAS_DEP,2020,79474
PRT,CAF_PAS_DEP,2020,95588
ROU,CAF_PAS_DEP,2020,35641
RS,CAF_PAS_DEP,2020,13120
SWE,CAF_PAS_DEP,2020,73697
SVN,CAF_PAS_DEP,2020,1974
SVK,CAF_PAS_DEP,2020,3125
TUR,CAF_PAS_DEP,2020,290719
GBR,CAF_PAS_DEP,2020,
AUT,CAF_PAS,2019,300317
BEL,CAF_PAS,2019,283009
BGR,CAF_PAS,2019,81642
CHE,CAF_PAS,2019,447917
CYP,CAF_PAS,2019,73369
CZE,CAF_PAS,2019,146892
DEU,CAF_PAS,2019,1742473
DNK,CAF_PAS,2019,305312
EST,CAF_PAS,2019,38756
GRC,CAF_PAS,2019,422503
ESP,CAF_PAS,2019,1552933
FIN,CAF_PAS,2019,201368
FRA,CAF_PAS,2019,1280487
HRV,CAF_PAS,2019,93056
HUN,CAF_PAS,2019,113059
IRL,CAF_PAS,2019,266297
ISL,CAF_PAS,2019,59201
ITA,CAF_PAS,2019,1165442
LTU,CAF_PAS,2019,53848
LUX,CAF_PAS,2019,56841
LVA,CAF_PAS,2019,81124
MNE,CAF_PAS,2019,23733
MKD,CAF_PAS,2019,17442
MLT,CAF_PAS,2019,51735
NLD,CAF_PAS,2019,548828
NOR,CAF_PAS,2019,422268
POL,CAF_PAS,2019,371150
PRT,CAF_PAS,2019,395697
ROU,CAF_PAS,2019,166087
RS,CAF_PAS,2019,67730
SWE,CAF_PAS,2019,347837
SVN,CAF_PAS,2019,20916
SVK,CAF_PAS,2019,33700
TUR,CAF_PAS,2019,976685
GBR,CAF_PAS,2019,1929654
AUT,CAF_PAS_ARR,2019,155062
BEL,CAF_PAS_ARR,2019,141698
BGR,CAF_PAS_ARR,2019,42158
CHE,CAF_PAS_ARR,2019,227831
CYP,CAF_PAS_ARR,2019,36624
CZE,CAF_PAS_ARR,2019,73418
DEU,CAF_PAS_ARR,2019,989434
DNK,CAF_PAS_ARR,2019,166231
EST,CAF_PAS_ARR,2019,19369
GRC,CAF_PAS_ARR,2019,260758
ESP,CAF_PAS_ARR,2019,965431
FIN,CAF_PAS_ARR,2019,121462
FRA,CAF_PAS_ARR,2019,774574
HRV,CAF_PAS_ARR,2019,50374
HUN,CAF_PAS_ARR,2019,56540
IRL,CAF_PAS_ARR,2019,133888
ISL,CAF_PAS_ARR,2019,32308
ITA,CAF_PAS_ARR,2019,707228
LTU,CAF_PAS_ARR,2019,26947
LUX,CAF_PAS_ARR,2019,27396
LVA,CAF_PAS_ARR,2019,40541
MNE,CAF_PAS_ARR,2019,11856
MKD,CAF_PAS_ARR,2019,8781
MLT,CAF_PAS_ARR,2019,25865
NLD,CAF_PAS_ARR,2019,274369
NOR,CAF_PAS_ARR,2019,305718
POL,CAF_PAS_ARR,2019,199385
PRT,CAF_PAS_ARR,2019,227156
ROU,CAF_PAS_ARR,2019,90758
RS,CAF_PAS_ARR,2019,33843
SWE,CAF_PAS_ARR,2019,216216
SVN,CAF_PAS_ARR,2019,10451
SVK,CAF_PAS_ARR,2019,22318
TUR,CAF_PAS_ARR,2019,644182
GBR,CAF_PAS_ARR,2019,1077354
AUT,CAF_PAS_DEP,2019,155114
BEL,CAF_PAS_DEP,2019,141935
BGR,CAF_PAS_DEP,2019,42192
CHE,CAF_PAS_DEP,2019,227863
CYP,CAF_PAS_DEP,2019,36745
CZE,CAF_PAS_DEP,2019,73474
DEU,CAF_PAS_DEP,2019,988570
DNK,CAF_PAS_DEP,2019,166371
EST,CAF_PAS_DEP,2019,19387
GRC,CAF_PAS_DEP,2019,260846
ESP,CAF_PAS_DEP,2019,966254
FIN,CAF_PAS_DEP,2019,121532
FRA,CAF_PAS_DEP,2019,774584
HRV,CAF_PAS_DEP,2019,50398
HUN,CAF_PAS_DEP,2019,56520
IRL,CAF_PAS_DEP,2019,133866
ISL,CAF_PAS_DEP,2019,32404
ITA,CAF_PAS_DEP,2019,707149
LTU,CAF_PAS_DEP,2019,26902
LUX,CAF_PAS_DEP,2019,29445
LVA,CAF_PAS_DEP,2019,40586
MNE,CAF_PAS_DEP,2019,11877
MKD,CAF_PAS_DEP,2019,8661
MLT,CAF_PAS_DEP,2019,25892
NLD,CAF_PAS_DEP,2019,274492
NOR,CAF_PAS_DEP,2019,305477
POL,CAF_PAS_DEP,2019,199406
PRT,CAF_PAS_DEP,2019,225767
ROU,CAF_PAS_DEP,2019,90218
RS,CAF_PAS_DEP,2019,33892
SWE,CAF_PAS_DEP,2019,216191
SVN,CAF_PAS_DEP,2019,10465
SVK,CAF_PAS_DEP,2019,11499
TUR,CAF_PAS_DEP,2019,645665
GBR,CAF_PAS_DEP,2019,1077920
AUT,CAF_PAS,2018,276945
BEL,CAF_PAS,2018,284796
BGR,CAF_PAS,2018,86879
CHE,CAF_PAS,2018,449150
CYP,CAF_PAS,2018,75511
CZE,CAF_PAS,2018,148730
DEU,CAF_PAS,2018,1745207
DNK,CAF_PAS,2018,307773
EST,CAF_PAS,2018,39838
GRC,CAF_PAS,2018,415739
ESP,CAF_PAS,2018,1519178
FIN,CAF_PAS,2018,198596
FRA,CAF_PAS,2018,1253639
HRV,CAF_PAS,2018,87951
HUN,CAF_PAS,2018,104884
IRL,CAF_PAS,2018,259103
ISL,CAF_PAS,2018,73823
ITA,CAF_PAS,2018,1129216
LTU,CAF_PAS,2018,52605
LUX,CAF_PAS,2018,54787
LVA,CAF_PAS,2018,77652
MNE,CAF_PAS,2018,22717
MKD,CAF_PAS,2018,16868
MLT,CAF_PAS,2018,47487
NLD,CAF_PAS,2018,549006
NOR,CAF_PAS,2018,427128
POL,CAF_PAS,2018,355297
PRT,CAF_PAS,2018,380822
ROU,CAF_PAS,2018,160870
RS,CAF_PAS,2018,60266
SWE,CAF_PAS,2018,364976
SVN,CAF_PAS,2018,24527
SVK,CAF_PAS,2018,34681
TUR,CAF_PAS,2018,961810
GBR,CAF_PAS,2018,1955280
AUT,CAF_PAS_ARR,2018,143689
BEL,CAF_PAS_ARR,2018,142608
BGR,CAF_PAS_ARR,2018,44893
CHE,CAF_PAS_ARR,2018,228885
CYP,CAF_PAS_ARR,2018,37681
CZE,CAF_PAS_ARR,2018,74318
DEU,CAF_PAS_ARR,2018,990633
DNK,CAF_PAS_ARR,2018,167850
EST,CAF_PAS_ARR,2018,19912
GRC,CAF_PAS_ARR,2018,256115
ESP,CAF_PAS_ARR,2018,939963
FIN,CAF_PAS_ARR,2018,120298
FRA,CAF_PAS_ARR,2018,759108
HRV,CAF_PAS_ARR,2018,47780
HUN,CAF_PAS_ARR,2018,52427
IRL,CAF_PAS_ARR,2018,130250
ISL,CAF_PAS_ARR,2018,39629
ITA,CAF_PAS_ARR,2018,685960
LTU,CAF_PAS_ARR,2018,26324
LUX,CAF_PAS_ARR,2018,26424
