country,measure,year,passengers
LVA,PAS_BRD,2018,7039116
MNE,PAS_BRD,2018,2440486
MKD,PAS_BRD,2018,2152746
MLT,PAS_BRD,2018,6805643
NLD,PAS_BRD,2018,79862217
NOR,PAS_BRD,2018,40531944
POL,PAS_BRD,2018,43754118
PRT,PAS_BRD,2018,50949917
ROU,PAS_BRD,2018,19870674
RS,PAS_BRD,2018,5521250
SWE,PAS_BRD,2018,39183627
SVN,PAS_BRD,2018,1810567
SVK,PAS_BRD,2018,2814330
TUR,PAS_BRD,2018,154730815
GBR,PAS_BRD,2018,272386344
AUT,PAS_CRD,2018,31138417
BEL,PAS_CRD,2018,34506309
BGR,PAS_CRD,2018,12137714
CHE,PAS_CRD,2018,56139549
CYP,PAS_CRD,2018,10927101
CZE,PAS_CRD,2018,17838221
DEU,PAS_CRD,2018,222422361
DNK,PAS_CRD,2018,34701139
EST,PAS_CRD,2018,2995528
GRC,PAS_CRD,2018,54258826
ESP,PAS_CRD,2018,220611429
FIN,PAS_CRD,2018,22173530
FRA,PAS_CRD,2018,161991179
HRV,PAS_CRD,2018,9731294
HUN,PAS_CRD,2018,15176493
IRL,PAS_CRD,2018,36345005
ISL,PAS_CRD,2018,10166386
ITA,PAS_CRD,2018,153352444
LTU,PAS_CRD,2018,6254178
LUX,PAS_CRD,2018,3988804
LVA,PAS_CRD,2018,7037070
MNE,PAS_CRD,2018,2440486
MKD,PAS_CRD,2018,2152746
MLT,PAS_CRD,2018,6805817
NLD,PAS_CRD,2018,79644163
NOR,PAS_CRD,2018,40030105
POL,PAS_CRD,2018,43767548
PRT,PAS_CRD,2018,51018598
ROU,PAS_CRD,2018,19809642
RS,PAS_CRD,2018,5521250
SWE,PAS_CRD,2018,38945096
SVN,PAS_CRD,2018,1810567
SVK,PAS_CRD,2018,2794094
GBR,PAS_CRD,2018,272190155
AUT,PAS_BRD,2017,28551316
BEL,PAS_BRD,2017,33277829
BGR,PAS_BRD,2017,11142601
CHE,PAS_BRD,2017,53618686
CYP,PAS_BRD,2017,10435377
CZE,PAS_BRD,2017,16326504
DEU,PAS_BRD,2017,213072515
DNK,PAS_BRD,2017,33332139
EST,PAS_BRD,2017,2636856
GRC,PAS_BRD,2017,50169361
ESP,PAS_BRD,2017,210158445
FIN,PAS_BRD,2017,20118115
FRA,PAS_BRD,2017,154971726
HRV,PAS_BRD,2017,8881622
HUN,PAS_BRD,2017,13379836
IRL,PAS_BRD,2017,34385827
ISL,PAS_BRD,2017,8322643
ITA,PAS_BRD,2017,144895467
LTU,PAS_BRD,2017,5250493
LUX,PAS_BRD,2017,3554730
LVA,PAS_BRD,2017,6097481
MNE,PAS_BRD,2017,2173494
MKD,PAS_BRD,2017,1861282
MLT,PAS_BRD,2017,6007717
NLD,PAS_BRD,2017,76608203
NOR,PAS_BRD,2017,39347467
POL,PAS_BRD,2017,37732884
PRT,PAS_BRD,2017,47431032
ROU,PAS_BRD,2017,18008415
RS,PAS_BRD,2017,4828171
SWE,PAS_BRD,2017,38628364
SVN,PAS_BRD,2017,1682705
SVK,PAS_BRD,2017,2434001
TUR,PAS_BRD,2017,139171843
GBR,PAS_BRD,2017,264867264
AUT,PAS_CRD,2017,28327279
BEL,PAS_CRD,2017,33260493
BGR,PAS_CRD,2017,11092651
CHE,PAS_CRD,2017,53564943
CYP,PAS_CRD,2017,10238913
CZE,PAS_CRD,2017,16245554
DEU,PAS_CRD,2017,212389343
DNK,PAS_CRD,2017,33261214
EST,PAS_CRD,2017,2635145
GRC,PAS_CRD,2017,50170728
ESP,PAS_CRD,2017,209824089
FIN,PAS_CRD,2017,20054947
FRA,PAS_CRD,2017,154096485
HRV,PAS_CRD,2017,8843053
HUN,PAS_CRD,2017,13350029
IRL,PAS_CRD,2017,34271771
ISL,PAS_CRD,2017,8318734
ITA,PAS_CRD,2017,144306325
LTU,PAS_CRD,2017,5246101
LUX,PAS_CRD,2017,3554730
LVA,PAS_CRD,2017,6077854
MNE,PAS_CRD,2017,2173494
MKD,PAS_CRD,2017,1861282
MLT,PAS_CRD,2017,6007731
NLD,PAS_CRD,2017,76240304
NOR,PAS_CRD,2017,38739778
POL,PAS_CRD,2017,37684668
PRT,PAS_CRD,2017,47673057
ROU,PAS_CRD,2017,17934774
RS,PAS_CRD,2017,4828171
SWE,PAS_CRD,2017,38456213
SVN,PAS_CRD,2017,1682133
SVK,PAS_CRD,2017,2402651
GBR,PAS_CRD,2017,264629454
AUT,PAS_BRD,2016,27382263
BEL,PAS_BRD,2016,30207135
BGR,PAS_BRD,2016,9377319
CHE,PAS_BRD,2016,50566487
CYP,PAS_BRD,2016,9101111
CZE,PAS_BRD,2016,13830127
DEU,PAS_BRD,2016,201454933
DNK,PAS_BRD,2016,32869476
EST,PAS_BRD,2016,2215791
GRC,PAS_BRD,2016,45541521
ESP,PAS_BRD,2016,194228944
FIN,PAS_BRD,2016,18097108
FRA,PAS_BRD,2016,146102956
HRV,PAS_BRD,2016,7510482
HUN,PAS_BRD,2016,11694505
IRL,PAS_BRD,2016,32689407
ISL,PAS_BRD,2016,6815439
ITA,PAS_BRD,2016,135146137
LTU,PAS_BRD,2016,4793541
LUX,PAS_BRD,2016,2984242
LVA,PAS_BRD,2016,5411134
MNE,PAS_BRD,2016,1845464
MKD,PAS_BRD,2016,1649374
MLT,PAS_BRD,2016,5080446
NLD,PAS_BRD,2016,70622839
NOR,PAS_BRD,2016,38339513
POL,PAS_BRD,2016,32341649
PRT,PAS_BRD,2016,40604376
ROU,PAS_BRD,2016,15215421
RS,PAS_BRD,2016,4414863
SWE,PAS_BRD,2016,36076810
SVN,PAS_BRD,2016,1405510
SVK,PAS_BRD,2016,2201980
TUR,PAS_BRD,2016,123037102
GBR,PAS_BRD,2016,249076212
AUT,PAS_CRD,2016,27181511
BEL,PAS_CRD,2016,30115832
