country,coverage,year,quarter,flights
POL,INTL,2021,Q1,11571
PRT,INTL,2021,Q1,12632
ROU,INTL,2021,Q1,8358
RS,INTL,2021,Q1,4852
SWE,INTL,2021,Q1,8691
SVN,INTL,2021,Q1,331
SVK,INTL,2021,Q1,2322
TUR,INTL,2021,Q1,46324
GBR,INTL,2021,Q1,
AUT,"NAT",2021,Q1,341
BEL,"NAT",2021,Q1,160
BGR,"NAT",2021,Q1,368
CHE,"NAT",2021,Q1,296
CYP,"NAT",2021,Q1,0
CZE,"NAT",2021,Q1,250
DEU,"NAT",2021,Q1,9349
DNK,"NAT",2021,Q1,3731
EST,"NAT",2021,Q1,580
GRC,"NAT",2021,Q1,12088
ESP,"NAT",2021,Q1,33461
FIN,"NAT",2021,Q1,3066
FRA,"NAT",2021,Q1,34023
HRV,"NAT",2021,Q1,1115
HUN,"NAT",2021,Q1,6
IRL,"NAT",2021,Q1,707
ISL,"NAT",2021,Q1,2110
ITA,"NAT",2021,Q1,18287
LTU,"NAT",2021,Q1,1
LUX,"NAT",2021,Q1,2
LVA,"NAT",2021,Q1,0
MNE,"NAT",2021,Q1,0
MKD,"NAT",2021,Q1,0
MLT,"NAT",2021,Q1,0
NLD,"NAT",2021,Q1,6
NOR,"NAT",2021,Q1,33464
POL,"NAT",2021,Q1,2029
PRT,"NAT",2021,Q1,6034
ROU,"NAT",2021,Q1,1641
RS,"NAT",2021,Q1,3
SWE,"NAT",2021,Q1,5065
SVN,"NAT",2021,Q1,0
SVK,"NAT",2021,Q1,53
TUR,"NAT",2021,Q1,42649
GBR,"NAT",2021,Q1,
AUT,TOTAL,2021,Q1,8957
BEL,TOTAL,2021,Q1,11907
BGR,TOTAL,2021,Q1,5185
CHE,TOTAL,2021,Q1,14352
CYP,TOTAL,2021,Q1,2196
CZE,TOTAL,2021,Q1,3882
DEU,TOTAL,2021,Q1,61578
DNK,TOTAL,2021,Q1,10619
EST,TOTAL,2021,Q1,1941
GRC,TOTAL,2021,Q1,19149
ESP,TOTAL,2021,Q1,69659
FIN,TOTAL,2021,Q1,8361
FRA,TOTAL,2021,Q1,74839
HRV,TOTAL,2021,Q1,2906
HUN,TOTAL,2021,Q1,2044
IRL,TOTAL,2021,Q1,6398
ISL,TOTAL,2021,Q1,2684
ITA,TOTAL,2021,Q1,43348
LTU,TOTAL,2021,Q1,2327
LUX,TOTAL,2021,Q1,2431
LVA,TOTAL,2021,Q1,1993
MNE,TOTAL,2021,Q1,886
MKD,TOTAL,2021,Q1,1601
MLT,TOTAL,2021,Q1,1686
NLD,TOTAL,2021,Q1,31649
NOR,TOTAL,2021,Q1,38184
POL,TOTAL,2021,Q1,13600
PRT,TOTAL,2021,Q1,18666
ROU,TOTAL,2021,Q1,9999
RS,TOTAL,2021,Q1,4855
SWE,TOTAL,2021,Q1,13756
SVN,TOTAL,2021,Q1,331
SVK,TOTAL,2021,Q1,2375
TUR,TOTAL,2021,Q1,88973
GBR,TOTAL,2021,Q1,
AUT,INTL,2020,Q4,13777
BEL,INTL,2020,Q4,16227
BGR,INTL,2020,Q4,5464
CHE,INTL,2020,Q4,22712
CYP,INTL,2020,Q4,4698
CZE,INTL,2020,Q4,4987
DEU,INTL,2020,Q4,84688
DNK,INTL,2020,Q4,13454
EST,INTL,2020,Q4,1998
GRC,INTL,2020,Q4,22022
ESP,INTL,2020,Q4,55248
FIN,INTL,2020,Q4,6154
FRA,INTL,2020,Q4,53452
HRV,INTL,2020,Q4,2839
HUN,INTL,2020,Q4,3037
IRL,INTL,2020,Q4,10535
ISL,INTL,2020,Q4,759
ITA,INTL,2020,Q4,44389
LTU,INTL,2020,Q4,3199
LUX,INTL,2020,Q4,4119
LVA,INTL,2020,Q4,3928
MNE,INTL,2020,Q4,1401
MKD,INTL,2020,Q4,1560
MLT,INTL,2020,Q4,3345
NLD,INTL,2020,Q4,46817
NOR,INTL,2020,Q4,8154
POL,INTL,2020,Q4,23047
PRT,INTL,2020,Q4,27220
ROU,INTL,2020,Q4,9667
RS,INTL,2020,Q4,4559
SWE,INTL,2020,Q4,13316
SVN,INTL,2020,Q4,413
SVK,INTL,2020,Q4,2469
TUR,INTL,2020,Q4,55362
GBR,INTL,2020,Q4,
AUT,"NAT",2020,Q4,617
BEL,"NAT",2020,Q4,706
BGR,"NAT",2020,Q4,372
CHE,"NAT",2020,Q4,385
CYP,"NAT",2020,Q4,0
CZE,"NAT",2020,Q4,238
DEU,"NAT",2020,Q4,15848
DNK,"NAT",2020,Q4,5249
EST,"NAT",2020,Q4,632
GRC,"NAT",2020,Q4,13795
ESP,"NAT",2020,Q4,46349
FIN,"NAT",2020,Q4,3114
FRA,"NAT",2020,Q4,34754
HRV,"NAT",2020,Q4,1448
HUN,"NAT",2020,Q4,5
IRL,"NAT",2020,Q4,717
ISL,"NAT",2020,Q4,1480
ITA,"NAT",2020,Q4,30788
LTU,"NAT",2020,Q4,1
LUX,"NAT",2020,Q4,5
LVA,"NAT",2020,Q4,2
MNE,"NAT",2020,Q4,0
MKD,"NAT",2020,Q4,0
MLT,"NAT",2020,Q4,0
NLD,"NAT",2020,Q4,12
NOR,"NAT",2020,Q4,41132
POL,"NAT",2020,Q4,3235
PRT,"NAT",2020,Q4,8184
ROU,"NAT",2020,Q4,1778
RS,"NAT",2020,Q4,2
SWE,"NAT",2020,Q4,7826
