country,coverage,year,flights
PRT,INTL,2018,321261
ROU,INTL,2018,141705
RS,INTL,2018,60252
SWE,INTL,2018,256095
SVN,INTL,2018,24527
SVK,INTL,2018,33821
TUR,INTL,2018,601008
GBR,INTL,2018,1600273
AUT,"NAT",2018,10632
BEL,"NAT",2018,5661
BGR,"NAT",2018,2928
CHE,"NAT",2018,8761
CYP,"NAT",2018,2
CZE,"NAT",2018,2676
DEU,"NAT",2018,245993
DNK,"NAT",2018,36513
EST,"NAT",2018,2394
GRC,"NAT",2018,105458
ESP,"NAT",2018,367839
FIN,"NAT",2018,42350
FRA,"NAT",2018,310217
HRV,"NAT",2018,8979
HUN,"NAT",2018,47
IRL,"NAT",2018,2939
ISL,"NAT",2018,14015
ITA,"NAT",2018,253099
LTU,"NAT",2018,11
LUX,"NAT",2018,13
LVA,"NAT",2018,358
MNE,"NAT",2018,0
MKD,"NAT",2018,0
MLT,"NAT",2018,377
NLD,"NAT",2018,157
NOR,"NAT",2018,226842
POL,"NAT",2018,27974
PRT,"NAT",2018,59561
ROU,"NAT",2018,19165
RS,"NAT",2018,14
SWE,"NAT",2018,108881
SVN,"NAT",2018,0
SVK,"NAT",2018,860
TUR,"NAT",2018,360802
GBR,"NAT",2018,355007
AUT,TOTAL,2018,276945
BEL,TOTAL,2018,284796
BGR,TOTAL,2018,86879
CHE,TOTAL,2018,449150
CYP,TOTAL,2018,75511
CZE,TOTAL,2018,148730
DEU,TOTAL,2018,1745207
DNK,TOTAL,2018,307773
EST,TOTAL,2018,39838
GRC,TOTAL,2018,415739
ESP,TOTAL,2018,1519178
FIN,TOTAL,2018,198596
FRA,TOTAL,2018,1253639
HRV,TOTAL,2018,87951
HUN,TOTAL,2018,104884
IRL,TOTAL,2018,259103
ISL,TOTAL,2018,73823
ITA,TOTAL,2018,1129216
LTU,TOTAL,2018,52605
LUX,TOTAL,2018,54787
LVA,TOTAL,2018,77652
MNE,TOTAL,2018,22717
MKD,TOTAL,2018,16868
MLT,TOTAL,2018,47487
NLD,TOTAL,2018,549006
NOR,TOTAL,2018,427128
POL,TOTAL,2018,355297
PRT,TOTAL,2018,380822
ROU,TOTAL,2018,160870
RS,TOTAL,2018,60266
SWE,TOTAL,2018,364976
SVN,TOTAL,2018,24527
SVK,TOTAL,2018,34681
TUR,TOTAL,2018,961810
GBR,TOTAL,2018,1955280
AUT,INTL,2017,249720
BEL,INTL,2017,274504
BGR,INTL,2017,77200
CHE,INTL,2017,431490
CYP,INTL,2017,71826
CZE,INTL,2017,137449
DEU,INTL,2017,1440919
DNK,INTL,2017,261074
EST,INTL,2017,34388
GRC,INTL,2017,283789
ESP,INTL,2017,1108464
FIN,INTL,2017,142584
FRA,INTL,2017,928897
HRV,INTL,2017,72058
HUN,INTL,2017,92953
IRL,INTL,2017,244095
ISL,INTL,2017,50267
ITA,INTL,2017,830678
LTU,INTL,2017,47378
LUX,INTL,2017,50687
LVA,INTL,2017,68453
MNE,INTL,2017,20955
MKD,INTL,2017,15494
MLT,INTL,2017,41203
NLD,INTL,2017,539561
NOR,INTL,2017,191875
POL,INTL,2017,283151
PRT,INTL,2017,297454
ROU,INTL,2017,132080
RS,INTL,2017,56204
SWE,INTL,2017,251328
SVN,INTL,2017,23636
SVK,INTL,2017,20162
TUR,INTL,2017,541293
GBR,INTL,2017,1582230
AUT,"NAT",2017,10943
BEL,"NAT",2017,5522
BGR,"NAT",2017,2881
CHE,"NAT",2017,11108
CYP,"NAT",2017,6
CZE,"NAT",2017,2967
DEU,"NAT",2017,238859
DNK,"NAT",2017,37877
EST,"NAT",2017,2403
GRC,"NAT",2017,100771
ESP,"NAT",2017,328961
FIN,"NAT",2017,40629
FRA,"NAT",2017,310032
HRV,"NAT",2017,8817
HUN,"NAT",2017,15
IRL,"NAT",2017,2918
ISL,"NAT",2017,163
ITA,"NAT",2017,249235
LTU,"NAT",2017,10
LUX,"NAT",2017,19
LVA,"NAT",2017,267
MNE,"NAT",2017,4
MKD,"NAT",2017,0
MLT,"NAT",2017,272
NLD,"NAT",2017,206
NOR,"NAT",2017,233247
POL,"NAT",2017,31358
PRT,"NAT",2017,58404
ROU,"NAT",2017,18574
RS,"NAT",2017,13
SWE,"NAT",2017,111772
SVN,"NAT",2017,0
SVK,"NAT",2017,1009
TUR,"NAT",2017,358136
GBR,"NAT",2017,360135
AUT,TOTAL,2017,260663
BEL,TOTAL,2017,280026
BGR,TOTAL,2017,80081
CHE,TOTAL,2017,442598
CYP,TOTAL,2017,71832
CZE,TOTAL,2017,140416
DEU,TOTAL,2017,1679778
DNK,TOTAL,2017,298951
EST,TOTAL,2017,36791
GRC,TOTAL,2017,384560
ESP,TOTAL,2017,1437425
FIN,TOTAL,2017,183213
FRA,TOTAL,2017,1238929
HRV,TOTAL,2017,80875
HUN,TOTAL,2017,92968
IRL,TOTAL,2017,247013
ISL,TOTAL,2017,50430
ITA,TOTAL,2017,1079913
LTU,TOTAL,2017,47388
LUX,TOTAL,2017,50706
LVA,TOTAL,2017,68720
MNE,TOTAL,2017,20959
MKD,TOTAL,2017,15494
MLT,TOTAL,2017,41475
NLD,TOTAL,2017,539767
NOR,TOTAL,2017,425122
POL,TOTAL,2017,314509
PRT,TOTAL,2017,355858
ROU,TOTAL,2017,150654
RS,TOTAL,2017,56217
SWE,TOTAL,2017,363100
SVN,TOTAL,2017,23636
SVK,TOTAL,2017,21171
TUR,TOTAL,2017,899429
GBR,TOTAL,2017,1942365
AUT,INTL,2016,249605
BEL,INTL,2016,268600
BGR,INTL,2016,70545
CHE,INTL,2016,428312
CYP,INTL,2016,64008
CZE,INTL,2016,129773
DEU,INTL,2016,1398201
DNK,INTL,2016,268118
EST,INTL,2016,30294
GRC,INTL,2016,263491
ESP,INTL,2016,1042909
FIN,INTL,2016,132401
FRA,INTL,2016,912831
HRV,INTL,2016,64352
HUN,INTL,2016,86268
IRL,INTL,2016,237249
ISL,INTL,2016,43420
ITA,INTL,2016,799975
LTU,INTL,2016,44933
LUX,INTL,2016,47296
LVA,INTL,2016,62374
MNE,INTL,2016,19490
MKD,INTL,2016,14407
MLT,INTL,2016,35757
NLD,INTL,2016,522603
NOR,INTL,2016,193102
POL,INTL,2016,256291
PRT,INTL,2016,267235
ROU,INTL,2016,119402
RS,INTL,2016,55646
SWE,INTL,2016,236740
SVN,INTL,2016,21256
SVK,INTL,2016,18990
TUR,INTL,2016,518263
GBR,INTL,2016,1527806
AUT,"NAT",2016,11065
BEL,"NAT",2016,6913
BGR,"NAT",2016,2422
CHE,"NAT",2016,13707
CYP,"NAT",2016,40
CZE,"NAT",2016,4508
DEU,"NAT",2016,247583
DNK,"NAT",2016,40365
EST,"NAT",2016,1871
GRC,"NAT",2016,100476
ESP,"NAT",2016,311198
FIN,"NAT",2016,39524
FRA,"NAT",2016,307416
HRV,"NAT",2016,8737
HUN,"NAT",2016,24
IRL,"NAT",2016,2979
ISL,"NAT",2016,0
ITA,"NAT",2016,245241
LTU,"NAT",2016,17
LUX,"NAT",2016,14
LVA,"NAT",2016,47
MNE,"NAT",2016,19
MKD,"NAT",2016,0
MLT,"NAT",2016,222
NLD,"NAT",2016,546
NOR,"NAT",2016,239021
POL,"NAT",2016,28850
PRT,"NAT",2016,57456
ROU,"NAT",2016,15426
RS,"NAT",2016,4
SWE,"NAT",2016,110879
SVN,"NAT",2016,0
SVK,"NAT",2016,1053
TUR,"NAT",2016,352167
GBR,"NAT",2016,365000
AUT,TOTAL,2016,260670
BEL,TOTAL,2016,275513
BGR,TOTAL,2016,72967
CHE,TOTAL,2016,442019
CYP,TOTAL,2016,64048
CZE,TOTAL,2016,134281
DEU,TOTAL,2016,1645784
DNK,TOTAL,2016,308483
EST,TOTAL,2016,32165
GRC,TOTAL,2016,363967
ESP,TOTAL,2016,1354107
FIN,TOTAL,2016,171925
FRA,TOTAL,2016,1220247
HRV,TOTAL,2016,73089
HUN,TOTAL,2016,86292
IRL,TOTAL,2016,240228
ISL,TOTAL,2016,43420
ITA,TOTAL,2016,1045216
LTU,TOTAL,2016,44950
LUX,TOTAL,2016,47310
LVA,TOTAL,2016,62421
MNE,TOTAL,2016,19509
MKD,TOTAL,2016,14407
MLT,TOTAL,2016,35979
NLD,TOTAL,2016,523149
NOR,TOTAL,2016,432123
POL,TOTAL,2016,285141
PRT,TOTAL,2016,324691
ROU,TOTAL,2016,134828
RS,TOTAL,2016,55650
SWE,TOTAL,2016,347619
SVN,TOTAL,2016,21256
SVK,TOTAL,2016,20043
TUR,TOTAL,2016,870430
GBR,TOTAL,2016,1892806
AUT,INTL,2015,251276
BEL,INTL,2015,274083
BGR,INTL,2015,58749
CHE,INTL,2015,418031
CYP,INTL,2015,53554
CZE,INTL,2015,122474
DEU,INTL,2015,1361033
DNK,INTL,2015,256112
EST,INTL,2015,29762
GRC,INTL,2015,246472
ESP,INTL,2015,959477
FIN,INTL,2015,133867
FRA,INTL,2015,885826
HRV,INTL,2015,57806
HUN,INTL,2015,80183
IRL,INTL,2015,218081
ISL,INTL,2015,32168
ITA,INTL,2015,758103
LTU,INTL,2015,41744
LUX,INTL,2015,42546
LVA,INTL,2015,63021
MNE,INTL,2015,
MKD,INTL,2015,12913
MLT,INTL,2015,34071
NLD,INTL,2015,493107
NOR,INTL,2015,199441
POL,INTL,2015,248997
PRT,INTL,2015,246080
ROU,INTL,2015,105678
RS,INTL,2015,
SWE,INTL,2015,227241
SVN,INTL,2015,21454
SVK,INTL,2015,16697
TUR,INTL,2015,569703
GBR,INTL,2015,1411406
AUT,"NAT",2015,12497
BEL,"NAT",2015,12569
BGR,"NAT",2015,2491
CHE,"NAT",2015,13681
CYP,"NAT",2015,82
CZE,"NAT",2015,5023
DEU,"NAT",2015,245259
DNK,"NAT",2015,40082
EST,"NAT",2015,2268
GRC,"NAT",2015,95520
ESP,"NAT",2015,302370
FIN,"NAT",2015,40764
FRA,"NAT",2015,309148
HRV,"NAT",2015,8101
HUN,"NAT",2015,1
IRL,"NAT",2015,2932
ISL,"NAT",2015,0
ITA,"NAT",2015,246281
LTU,"NAT",2015,22
LUX,"NAT",2015,38
LVA,"NAT",2015,7
MNE,"NAT",2015,
MKD,"NAT",2015,0
MLT,"NAT",2015,306
NLD,"NAT",2015,533
NOR,"NAT",2015,243229
POL,"NAT",2015,28550
PRT,"NAT",2015,39022
ROU,"NAT",2015,11310
RS,"NAT",2015,
SWE,"NAT",2015,109726
SVN,"NAT",2015,1
SVK,"NAT",2015,966
TUR,"NAT",2015,336523
GBR,"NAT",2015,378312
AUT,TOTAL,2015,263773
BEL,TOTAL,2015,286652
BGR,TOTAL,2015,61240
CHE,TOTAL,2015,431712
CYP,TOTAL,2015,53636
CZE,TOTAL,2015,127497
DEU,TOTAL,2015,1606292
DNK,TOTAL,2015,296194
EST,TOTAL,2015,32030
GRC,TOTAL,2015,341992
ESP,TOTAL,2015,1261847
FIN,TOTAL,2015,174631
FRA,TOTAL,2015,1194974
HRV,TOTAL,2015,65907
HUN,TOTAL,2015,80184
IRL,TOTAL,2015,221013
ISL,TOTAL,2015,32168
ITA,TOTAL,2015,1004384
LTU,TOTAL,2015,41766
LUX,TOTAL,2015,42584
LVA,TOTAL,2015,63028
MNE,TOTAL,2015,
MKD,TOTAL,2015,12913
MLT,TOTAL,2015,34377
NLD,TOTAL,2015,493640
NOR,TOTAL,2015,442670
POL,TOTAL,2015,277547
PRT,TOTAL,2015,285102
ROU,TOTAL,2015,116988
RS,TOTAL,2015,
SWE,TOTAL,2015,336967
SVN,TOTAL,2015,21455
SVK,TOTAL,2015,17663
TUR,TOTAL,2015,906226
GBR,TOTAL,2015,1789718
AUT,INTL,2014,252975
BEL,INTL,2014,261636
BGR,INTL,2014,58203
CHE,INTL,2014,413526
CYP,INTL,2014,52403
CZE,INTL,2014,121829
DEU,INTL,2014,1338706
DNK,INTL,2014,251180
EST,INTL,2014,27004
GRC,INTL,2014,234620
ESP,INTL,2014,935303
FIN,INTL,2014,134745
FRA,INTL,2014,870847
HRV,INTL,2014,55164
HUN,INTL,2014,74830
IRL,INTL,2014,206749
ISL,INTL,2014,26889
ITA,INTL,2014,723070
LTU,INTL,2014,39493
LUX,INTL,2014,42054
LVA,INTL,2014,60889
MNE,INTL,2014,
MKD,INTL,2014,
MLT,INTL,2014,32241
NLD,INTL,2014,478342
NOR,INTL,2014,212314
POL,INTL,2014,225424
PRT,INTL,2014,230816
ROU,INTL,2014,96923
RS,INTL,2014,
SWE,INTL,2014,223427
SVN,INTL,2014,20473
SVK,INTL,2014,15005
TUR,INTL,2014,537866
GBR,INTL,2014,1376299
AUT,"NAT",2014,14028
BEL,"NAT",2014,12967
BGR,"NAT",2014,2510
CHE,"NAT",2014,12334
CYP,"NAT",2014,18
CZE,"NAT",2014,4564
DEU,"NAT",2014,252868
DNK,"NAT",2014,40491
EST,"NAT",2014,1930
GRC,"NAT",2014,87140
ESP,"NAT",2014,295439
FIN,"NAT",2014,42132
FRA,"NAT",2014,311775
HRV,"NAT",2014,8147
HUN,"NAT",2014,2
IRL,"NAT",2014,2951
ISL,"NAT",2014,0
ITA,"NAT",2014,237164
LTU,"NAT",2014,19
LUX,"NAT",2014,51
LVA,"NAT",2014,4
MNE,"NAT",2014,
MKD,"NAT",2014,
MLT,"NAT",2014,331
NLD,"NAT",2014,530
NOR,"NAT",2014,231232
POL,"NAT",2014,29995
PRT,"NAT",2014,35825
ROU,"NAT",2014,11910
RS,"NAT",2014,
SWE,"NAT",2014,112048
SVN,"NAT",2014,0
SVK,"NAT",2014,971
TUR,"NAT",2014,305327
GBR,"NAT",2014,375452
AUT,TOTAL,2014,267003
BEL,TOTAL,2014,274603
BGR,TOTAL,2014,60713
CHE,TOTAL,2014,425860
CYP,TOTAL,2014,52421
CZE,TOTAL,2014,126393
DEU,TOTAL,2014,1591574
DNK,TOTAL,2014,291671
EST,TOTAL,2014,28934
GRC,TOTAL,2014,321760
ESP,TOTAL,2014,1230742
FIN,TOTAL,2014,176877
FRA,TOTAL,2014,1182622
HRV,TOTAL,2014,63311
HUN,TOTAL,2014,74832
IRL,TOTAL,2014,209700
ISL,TOTAL,2014,26889
ITA,TOTAL,2014,960234
LTU,TOTAL,2014,39512
LUX,TOTAL,2014,42105
LVA,TOTAL,2014,60893
MNE,TOTAL,2014,
MKD,TOTAL,2014,
MLT,TOTAL,2014,32572
NLD,TOTAL,2014,478872
NOR,TOTAL,2014,443546
POL,TOTAL,2014,255419
PRT,TOTAL,2014,266641
ROU,TOTAL,2014,108833
RS,TOTAL,2014,
SWE,TOTAL,2014,335475
SVN,TOTAL,2014,20473
SVK,TOTAL,2014,15976
TUR,TOTAL,2014,843193
GBR,TOTAL,2014,1751751
AUT,INTL,2013,250726
BEL,INTL,2013,251637
BGR,INTL,2013,54066
CHE,INTL,2013,408515
CYP,INTL,2013,49872
CZE,INTL,2013,125519
DEU,INTL,2013,1336498
DNK,INTL,2013,251595
EST,INTL,2013,26550
GRC,INTL,2013,203233
ESP,INTL,2013,898881
FIN,INTL,2013,134459
FRA,INTL,2013,861661
HRV,INTL,2013,52497
HUN,INTL,2013,71751
IRL,INTL,2013,194028
ISL,INTL,2013,22618
ITA,INTL,2013,715291
LTU,INTL,2013,35062
LUX,INTL,2013,40871
LVA,INTL,2013,62208
MNE,INTL,2013,
MKD,INTL,2013,
MLT,INTL,2013,30749
NLD,INTL,2013,465199
NOR,INTL,2013,213639
POL,INTL,2013,213717
PRT,INTL,2013,216115
ROU,INTL,2013,92482
RS,INTL,2013,
SWE,INTL,2013,220310
SVN,INTL,2013,21083
SVK,INTL,2013,14296
TUR,INTL,2013,490404
GBR,INTL,2013,1331660
AUT,"NAT",2013,14934
BEL,"NAT",2013,13742
BGR,"NAT",2013,2793
CHE,"NAT",2013,10819
CYP,"NAT",2013,23
CZE,"NAT",2013,3935
DEU,"NAT",2013,317619
DNK,"NAT",2013,39071
EST,"NAT",2013,2034
GRC,"NAT",2013,82407
ESP,"NAT",2013,288975
FIN,"NAT",2013,44140
FRA,"NAT",2013,332605
HRV,"NAT",2013,7072
HUN,"NAT",2013,5
IRL,"NAT",2013,3015
ISL,"NAT",2013,0
ITA,"NAT",2013,255865
LTU,"NAT",2013,19
LUX,"NAT",2013,48
LVA,"NAT",2013,7
MNE,"NAT",2013,
MKD,"NAT",2013,
MLT,"NAT",2013,217
NLD,"NAT",2013,668
NOR,"NAT",2013,226747
POL,"NAT",2013,29416
PRT,"NAT",2013,34866
ROU,"NAT",2013,13093
RS,"NAT",2013,
SWE,"NAT",2013,111610
SVN,"NAT",2013,0
SVK,"NAT",2013,982
TUR,"NAT",2013,279171
GBR,"NAT",2013,385117
